Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
L,297.3,308.3,1430,41.9,95,0
L,301.7,309.9,1317,49.0,187,1
L,300.6,311.6,1964,21.4,15,0
M,298.9,308.2,1372,63.6,30,1
L,302.6,310.4,1365,66.8,80,1
M,300.3,309.9,1494,38.5,33,0
L,302.4,311.3,1392,50.5,51,0
M,300.6,309.4,1367,63.2,45,1
L,299.2,309.0,1515,48.9,228,1
L,302.4,311.9,1290,70.0,139,1
L,301.8,310.6,1295,62.3,91,0
L,299.1,310.0,1367,56.3,203,1
L,303.7,312.7,1359,56.8,194,1
L,300.8,309.9,1312,65.3,192,1
M,299.9,309.4,1483,38.1,193,0
L,302.3,311.8,1369,56.2,208,1
L,298.9,310.1,1473,42.6,164,0
L,297.4,308.3,1801,26.9,11,0
M,299.1,310.1,1570,30.9,226,0
L,301.9,311.0,2691,12.1,31,1
M,302.3,311.7,1494,37.1,114,0
L,300.5,309.3,1574,33.5,101,0
L,298.5,309.4,1360,60.9,187,1
L,300.0,309.8,1372,39.6,105,0
M,302.2,310.6,1346,49.2,134,1
M,302.1,310.0,1355,45.1,6,1
M,301.9,310.6,1260,65.9,29,0
L,301.3,311.1,1303,49.2,212,0
M,302.5,311.5,1481,41.1,215,0
L,300.0,311.4,1927,24.6,132,0
L,300.4,310.4,1298,61.4,19,0
L,297.4,308.5,1410,43.9,47,0
L,300.8,310.1,1405,61.2,189,1
M,297.4,308.3,1483,41.9,47,0
L,297.1,308.5,1323,44.4,207,1
L,301.9,310.4,1286,62.8,22,1
H,302.3,310.2,1443,54.6,120,0
L,299.1,308.7,1498,38.9,181,0
L,297.9,307.8,1451,38.2,80,0
H,296.5,307.4,1432,49.2,64,0
L,303.1,312.4,1404,61.5,127,1
L,300.5,310.4,1702,33.1,71,0
H,302.1,310.7,1294,62.4,101,1
L,301.6,310.6,1222,70.0,62,0
L,303.0,311.0,1359,44.2,115,1
L,302.0,310.4,1357,58.0,108,1
L,301.8,309.7,1442,45.3,233,1
L,303.5,313.0,1482,38.5,82,0
L,303.9,312.7,1339,62.3,156,0
L,301.0,310.9,1813,28.5,197,0
L,303.5,312.0,1366,54.5,30,1
M,299.5,309.0,1399,49.7,207,0
M,304.1,313.2,1586,41.1,129,0
M,299.5,310.7,1423,56.5,7,0
L,297.0,308.1,1489,44.1,96,0
L,302.3,310.8,1723,26.3,213,0
L,300.8,311.4,1322,67.2,18,1
M,298.3,309.1,1296,58.7,201,0
L,298.2,308.4,1355,49.4,209,0
M,300.1,310.5,1329,57.4,99,0
L,300.6,311.8,1539,37.0,187,0
L,297.4,308.5,1399,61.5,61,1
M,303.7,312.0,2663,11.4,71,1
M,300.8,309.7,1680,28.2,189,0
L,302.4,310.1,1418,52.3,141,0
L,296.9,307.5,2721,9.3,18,1
M,300.2,311.7,1597,39.5,68,0
M,299.4,309.1,1352,44.7,172,0
L,303.4,311.7,1295,51.3,51,1
M,301.0,310.4,1793,25.0,142,0
L,298.1,307.7,2567,12.8,125,1
M,302.5,312.0,1591,29.4,192,0
M,302.2,310.1,1368,51.6,12,1
M,302.1,310.7,1376,46.3,210,1
L,300.5,310.3,1435,43.3,31,0
L,303.2,311.4,1349,51.1,9,1
M,302.0,310.4,1212,55.6,79,1
L,297.0,307.8,1316,61.2,200,1
H,299.9,309.8,1400,48.7,119,0
L,302.7,312.1,1763,26.5,184,0
M,297.6,309.3,1464,46.2,218,0
M,302.0,310.6,1392,60.5,10,0
L,302.4,310.2,1346,62.4,106,1
L,303.8,313.1,2497,13.0,5,1
L,302.6,311.5,1442,59.8,169,1
M,300.6,310.6,1403,50.4,64,0
M,303.0,312.2,1257,71.3,122,1
L,302.7,310.5,1263,67.8,197,1
L,301.3,310.6,1556,39.0,72,0
L,298.8,309.9,1320,47.4,210,0
L,299.9,310.4,1408,38.4,144,0
L,300.3,309.6,1600,34.6,177,0
L,300.0,309.5,1728,26.0,37,0
M,303.4,311.4,1307,54.0,44,1
L,303.7,312.1,1363,51.8,90,1
M,297.3,308.3,1459,59.6,207,1
L,302.5,310.4,1349,55.1,187,1
L,297.4,308.2,1386,41.0,35,0
L,301.3,310.9,1566,33.1,82,0
L,300.9,311.0,1382,51.2,136,0
M,298.9,308.2,1411,51.3,43,0
M,299.7,309.6,1313,60.0,186,0
L,303.5,312.9,1504,44.8,111,0
L,297.4,308.4,1328,61.8,98,0
M,302.4,310.3,1378,54.3,165,1
L,299.2,309.0,1951,21.4,102,0
H,303.5,312.0,1397,52.9,80,0
H,302.3,310.9,1366,48.4,130,1
L,302.7,312.2,1450,52.1,213,1
L,301.9,310.4,1708,24.8,17,0
L,302.3,311.7,1648,32.1,197,0
L,302.5,310.2,1329,50.6,148,1
M,300.6,311.7,1389,52.1,210,0
M,299.2,308.9,1573,37.4,212,0
H,300.4,311.6,1715,30.8,203,0
L,302.2,310.6,1346,47.5,109,1
L,302.9,310.8,1610,32.2,17,0
H,297.4,307.9,1390,52.0,131,0
L,301.6,310.1,1362,55.8,70,1
L,297.2,307.9,1326,75.4,172,1
L,298.9,309.6,1365,50.9,183,0
M,300.3,311.2,1381,65.2,136,1
M,298.0,308.6,1507,37.3,217,0
L,302.6,310.9,1331,52.0,154,1
L,299.5,309.4,1390,58.8,195,1
L,302.6,311.0,1520,42.8,148,0
L,302.5,310.4,1487,40.2,48,0
M,302.8,310.8,1451,44.7,32,0
H,300.7,310.2,1364,65.3,208,1
L,297.4,308.7,2874,4.2,118,1
H,302.7,310.8,1275,55.0,25,1
M,297.6,308.4,1398,41.9,215,0
M,299.6,309.2,1867,23.4,225,1
L,303.9,313.1,1639,29.0,95,0
M,296.3,307.2,1319,68.3,24,1
H,298.8,309.8,1490,35.9,171,0
L,301.7,310.9,1405,46.4,207,1
M,302.6,310.2,2676,10.8,84,1
M,297.3,308.1,1369,52.0,214,0
L,300.5,309.3,1475,46.8,94,0
L,300.9,311.3,1953,19.4,107,0
M,297.4,307.9,1627,34.3,166,0
L,297.4,309.1,1380,41.1,152,0
H,300.7,311.3,1374,53.1,66,0
M,303.3,312.1,1693,30.0,80,0
L,298.2,308.6,1433,39.5,7,0
L,297.4,308.7,1638,31.9,131,0
L,302.2,311.4,1609,32.1,41,0
L,303.4,312.2,1337,69.4,52,1
L,299.7,311.1,1574,36.4,135,0
L,301.4,310.6,1578,33.0,181,0
L,301.0,311.4,1481,37.5,193,0
M,302.1,310.1,1379,48.2,166,1
M,299.6,308.9,1568,35.3,77,0
M,299.6,309.3,1387,48.3,25,0
L,299.8,309.3,1299,65.1,212,1
M,298.8,310.1,1243,74.5,194,1
L,301.1,311.1,1470,40.9,125,0
M,303.0,311.3,1335,53.6,164,1
H,304.0,313.2,1271,68.6,161,1
L,297.8,307.2,1880,23.0,176,0
L,302.1,311.0,1586,35.1,142,0
L,298.7,309.8,1181,65.9,203,1
L,298.0,307.5,1792,27.9,217,0
L,302.3,310.8,1377,47.3,22,1
L,298.7,309.8,1354,53.3,212,1
L,300.3,310.3,1362,60.3,206,1
L,298.2,307.9,1551,36.0,186,0
L,297.9,307.8,1365,46.9,73,0
M,296.7,307.8,1258,69.0,105,1
M,302.4,310.1,1358,54.6,61,1
M,300.7,309.5,1633,31.3,90,0
L,300.5,311.8,1368,57.9,191,1
L,302.3,310.1,1353,50.9,36,1
H,303.6,312.4,1460,53.7,214,0
L,303.2,311.4,1351,53.8,8,1
L,303.2,311.5,1544,42.5,227,0
L,298.1,310.0,1534,33.7,47,0
L,301.6,310.8,1355,57.8,195,1
L,298.7,310.2,1436,47.5,32,0
L,297.8,309.7,1394,42.9,206,0
L,301.9,310.6,1331,68.6,85,1
L,299.1,308.6,1408,46.7,196,0
L,302.6,311.0,1284,68.0,114,1
L,297.9,307.3,1824,26.3,5,0
M,300.9,310.7,1362,51.6,212,0
L,302.7,312.2,1369,51.8,174,0
M,302.3,311.4,1479,45.6,59,0
H,302.0,309.8,1280,57.3,147,1
L,298.3,307.8,1906,22.1,104,0
